id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1508866531542941705,1508866531542941705,2022-03-29 12:59:49 CDT,2022-03-29,12:59:49,-0500,3383159573,doctor_oxford,Rachel Clarke,,"These attempts to rewrite history are so brazen &amp; disrespectful. 186k people are dead - not least because instead of suppressing the virus until we had vaccines, @BorisJohnson chose to let it rip in two catastrophic waves causing 10s of 1000s of avoidable deaths. Unforgivable.",en,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",[],[],173,1639,5510,[],[],https://twitter.com/doctor_oxford/status/1508866531542941705,False,https://twitter.com/jessbrammar/status/1508814176684232712,0,,,,,,,,[],,,,
1508759437569409030,1508759437569409030,2022-03-29 05:54:15 CDT,2022-03-29,05:54:15,-0500,1063839405977337856,sophielouisecc,Sophie Corcoran,,"Covid jabs for 5 to eleven year olds to start next week.   So here’s a friendly reminder that your five year old, does not need a covid vaccine.",en,[],[],[],450,1061,6287,[],[],https://twitter.com/sophielouisecc/status/1508759437569409030,False,,0,,,,,,,,[],,,,
1508744880180322308,1508744880180322308,2022-03-29 04:56:25 CDT,2022-03-29,04:56:25,-0500,1533342582,victorsinclair3,AuBonTouiteFrançais 🍾🍾🍾,,"Je n'en reviens toujours pas qu'après avoir été vaccinés, 3 fois en 8 mois, les gens trouvent parfaitement normal d'attraper le Covid et répètent stupidement l'un des mantras les plus débiles de l'histoire de la médecine (""Oui mais ça empêche les formes graves"")",fr,[],[],[],487,2994,8006,[],[],https://twitter.com/VictorSinclair3/status/1508744880180322308,False,,0,,,,,,,,[],,,,
1508735030658539521,1508735030658539521,2022-03-29 04:17:16 CDT,2022-03-29,04:17:16,-0500,18643437,prisonplanet,Paul Joseph Watson,,"A vaccine so good, you get given 8 COVID tests after taking a fourth dose of it. 🥴",en,[],[],[],633,1959,16457,[],[],https://twitter.com/PrisonPlanet/status/1508735030658539521,False,https://twitter.com/kathygriffin/status/1507536511348068352,0,,,,,,,,[],,,,
1508667781205708803,1508667781205708803,2022-03-28 23:50:03 CDT,2022-03-28,23:50:03,-0500,1476707647890022403,drthompson22,Dr Thompson,,Every hour I think about how the government would rather kill kids than admit the vaccine isn’t so safe or effective.,en,[],[],[],298,3442,12127,[],[],https://twitter.com/DrThompson22/status/1508667781205708803,False,,0,,,,,,,,[],,,,
1508562475721056266,1508562475721056266,2022-03-28 16:51:36 CDT,2022-03-28,16:51:36,-0500,975200486,repthomasmassie,Thomas Massie,,"The government lied to you about natural immunity, the efficacy of masks, the definition of vaccine, and possible origins of the virus. Now Congress wants the government to write the “History of COVID-19”? If this gets a vote this week, I’ll be a No.  https://t.co/SnCAt1vq4A",en,[],[],['https://pbs.twimg.com/media/FO99kyfXwAshTbl.jpg'],289,2120,7231,[],[],https://twitter.com/RepThomasMassie/status/1508562475721056266,False,,1,https://pbs.twimg.com/media/FO99kyfXwAshTbl.jpg,,,,,,,[],,,,
1508516695744393218,1508516695744393218,2022-03-28 13:49:41 CDT,2022-03-28,13:49:41,-0500,1108027382861053952,stephan_nyc,Stephan 🇺🇲,,The queen of the vaccine died 🥴😵‍💫☠️⚰️ those are really kill shots...just a matter of time.  https://t.co/FiQ4P5namO,en,[],[],['https://pbs.twimg.com/media/FO9T8NSWUAM0rFd.jpg'],864,5737,10397,[],[],https://twitter.com/stephan_nyc/status/1508516695744393218,False,,1,https://pbs.twimg.com/media/FO9T8NSWUAM0rFd.jpg,,,,,,,[],,,,
1508508782049075201,1508508782049075201,2022-03-28 13:18:15 CDT,2022-03-28,13:18:15,-0500,1290778158254428168,michell92668981,Michelle The Unacceptable LA🇨🇦,,"I want to follow like minded people. If you are against vaccine mandates, travel restrictions, segregation, and just tired of our governments corruption please let's be friends. We need to connect now more than ever. We need to come together and find our strength in numbers.",en,[],[],[],900,1753,12463,[],[],https://twitter.com/Michell92668981/status/1508508782049075201,False,,0,,,,,,,,[],,,,
1508472182162087938,1508472182162087938,2022-03-28 10:52:48 CDT,2022-03-28,10:52:48,-0500,2461810448,teampelosi,Nancy Pelosi,,"Democrats are working to save lives and lower costs with a budget that keeps vaccines, testing and treatment free.  Republicans are plotting to block funding, kill the ACA, sunset Social Security, and raise taxes for nearly 1/2 of U.S. workers.  Vote accordingly #MondayMotivation",en,[],[],[],382,2701,6366,['mondaymotivation'],[],https://twitter.com/TeamPelosi/status/1508472182162087938,False,,0,,,,,,,,[],,,,
1508401056358744066,1508401056358744066,2022-03-28 06:10:11 CDT,2022-03-28,06:10:11,-0500,36722806,keggs719,Meghan Maureen,,Nothing says confidence in your vaccine like getting 8 free tests to find out if you have the thing you got 4 shots for 🤡🤡🤡🤡,en,[],[],[],752,4668,29515,[],[],https://twitter.com/Keggs719/status/1508401056358744066,False,https://twitter.com/kathygriffin/status/1507536511348068352,0,,,,,,,,[],,,,
1508244576620138497,1508244576620138497,2022-03-27 19:48:23 CDT,2022-03-27,19:48:23,-0500,1184083789619683328,therealrukshan,real Rukshan,,"Fully vaccinated and masked Premier tests positive after attending event using vaccine passport system. That's it, that's the tweet.  https://t.co/haxuVrKZYK",en,[],[],['https://pbs.twimg.com/media/FO5ccTlaIAMZ6y2.jpg'],1840,9001,37655,[],[],https://twitter.com/therealrukshan/status/1508244576620138497,False,,1,https://pbs.twimg.com/media/FO5ccTlaIAMZ6y2.jpg,,,,,,,[],,,,
1508234341733879810,1508234341733879810,2022-03-27 19:07:43 CDT,2022-03-27,19:07:43,-0500,6742412,jennybethm,Jenny Beth Martin,,BREAKING: Moderna is approaching the FDA for emergency use authorization of COVID-19 vaccines in children as young as 6 months old.  Who here opposes this request? ✋,en,[],[],[],1022,1879,10937,[],[],https://twitter.com/jennybethm/status/1508234341733879810,False,,0,,,,,,,,[],,,,
1508227517072691201,1507536511348068352,2022-03-27 18:40:36 CDT,2022-03-27,18:40:36,-0500,285794441,davewithington1,Dave Withington,,@kathygriffin Four vaccines and you still need to test for the thing you’re vaxxed against?,en,[],[],[],78,209,6457,[],[],https://twitter.com/DaveWithington1/status/1508227517072691201,False,,0,,,,,,,,"[{'screen_name': 'kathygriffin', 'name': 'Kathy Griffin', 'id': '21148293'}]",,,,
1508215153648492544,1508215153648492544,2022-03-27 17:51:28 CDT,2022-03-27,17:51:28,-0500,1150524293572366339,blueslots,Blue Room Slots 🇨🇦 (Injured by the Vax),,What this vaccine has done to me Ruined my heart (possibly permanently)  Ruined my relationships Left me isolated. Left me jobless. Left me hopeless. Barely holding on to my apartment. Everyday I would go for long walks. Not anymore. Haven't had a haircut in 7+ months. etc..,en,[],[],[],475,1898,5552,[],[],https://twitter.com/BlueSlots/status/1508215153648492544,False,,0,,,,,,,,[],,,,
1508174111595409410,1508174111595409410,2022-03-27 15:08:23 CDT,2022-03-27,15:08:23,-0500,1452497500892327940,xijennyyang,"Jenny Yang, MD.",,"It's amazing how everything gives you heart attacks or strokes or blood clots these days, except for covid19 vaccines which fact checkers have shown are safe and effective.",en,[],[],[],154,2342,8396,[],[],https://twitter.com/XiJennyYang/status/1508174111595409410,False,,0,,,,,,,,[],,,,
